2025-05-20 23:22:32,448 - INFO - ClassifierKellyBacktest.main_backtest_loop:304 - Logging for session 25MAY11_17 to: /Users/omarabul-hassan/Desktop/projects/kalshi/notebooks/logs/classifier_kelly_backtests/backtest_LogRegKelly_25MAY11_17_20250520_232215.txt
2025-05-20 23:22:32,448 - INFO - utils.clear_binance_cache:41 - Utils: All Binance data caches cleared.
2025-05-20 23:22:32,448 - INFO - utils.clear_kalshi_cache:46 - Utils: Kalshi market minute data cache cleared.
2025-05-20 23:22:32,448 - INFO - ClassifierKellyBacktest.main_backtest_loop:325 -   Session 25MAY11_17: Pre-loading Binance data from 2025-05-10 18:00 to 2025-05-11 22:00
2025-05-20 23:22:32,449 - INFO - utils.load_and_prepare_binance_range_with_features:192 - Utils: Preparing Binance data with features for range: 2025-05-10 to 2025-05-11
2025-05-20 23:22:32,460 - INFO - utils.load_and_prepare_binance_range_with_features:222 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-20 23:22:32,462 - INFO - utils.load_and_prepare_binance_range_with_features:237 - Utils: Binance features calculated and cached for the requested range 2025-05-10 to 2025-05-11.
2025-05-20 23:22:32,462 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:112 - --- Starting Backtest for Session: 25MAY11_17 ---
2025-05-20 23:22:43,007 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:58 | P(YES):0.801 P(YES):0.801 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$33.07
2025-05-20 23:22:43,009 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:00 | P(YES):0.801 P(YES):0.801 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$33.89
2025-05-20 23:22:43,010 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:01 | P(YES):0.803 P(YES):0.803 | BUY_YES x2@60c (B:51,A:60) | Outcome:YES | PNL:80c | Cap:$34.69
2025-05-20 23:22:43,012 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:02 | P(YES):0.812 P(YES):0.812 | BUY_YES x3@60c (B:52,A:60) | Outcome:YES | PNL:120c | Cap:$35.89
2025-05-20 23:22:43,013 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:03 | P(YES):0.802 P(YES):0.802 | BUY_YES x3@60c (B:51,A:60) | Outcome:YES | PNL:120c | Cap:$37.09
2025-05-20 23:22:43,014 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:04 | P(YES):0.813 P(YES):0.813 | BUY_YES x3@60c (B:52,A:60) | Outcome:YES | PNL:120c | Cap:$38.29
2025-05-20 23:22:43,015 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:05 | P(YES):0.804 P(YES):0.804 | BUY_YES x3@60c (B:51,A:60) | Outcome:YES | PNL:120c | Cap:$39.49
2025-05-20 23:22:43,016 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 05:06 | P(YES):0.800 P(YES):0.800 | BUY_YES x3@58c (B:51,A:58) | Outcome:YES | PNL:126c | Cap:$40.75
2025-05-20 23:22:43,481 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 12:07 | P(YES):0.818 P(YES):0.818 | BUY_YES x3@61c (B:54,A:61) | Outcome:YES | PNL:117c | Cap:$41.92
2025-05-20 23:22:43,566 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:23 | P(YES):0.946 P(YES):0.946 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$42.14
2025-05-20 23:22:43,567 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:24 | P(YES):0.942 P(YES):0.942 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$42.36
2025-05-20 23:22:43,569 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:25 | P(YES):0.941 P(YES):0.941 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$42.58
2025-05-20 23:22:43,570 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:26 | P(YES):0.941 P(YES):0.941 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$42.80
2025-05-20 23:22:43,571 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:27 | P(YES):0.942 P(YES):0.942 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$43.02
2025-05-20 23:22:43,572 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:28 | P(YES):0.931 P(YES):0.931 | BUY_YES x3@82c (B:67,A:82) | Outcome:YES | PNL:54c | Cap:$43.56
2025-05-20 23:22:43,573 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:29 | P(YES):0.932 P(YES):0.932 | BUY_YES x3@83c (B:67,A:83) | Outcome:YES | PNL:51c | Cap:$44.07
2025-05-20 23:22:43,574 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:30 | P(YES):0.931 P(YES):0.931 | BUY_YES x3@83c (B:67,A:83) | Outcome:YES | PNL:51c | Cap:$44.58
2025-05-20 23:22:43,577 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:32 | P(YES):0.927 P(YES):0.927 | BUY_YES x3@80c (B:67,A:80) | Outcome:YES | PNL:60c | Cap:$45.18
2025-05-20 23:22:43,578 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:33 | P(YES):0.933 P(YES):0.933 | BUY_YES x4@77c (B:67,A:77) | Outcome:YES | PNL:92c | Cap:$46.10
2025-05-20 23:22:43,579 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:34 | P(YES):0.929 P(YES):0.929 | BUY_YES x3@81c (B:67,A:81) | Outcome:YES | PNL:57c | Cap:$46.67
2025-05-20 23:22:43,580 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:35 | P(YES):0.944 P(YES):0.944 | BUY_YES x2@88c (B:67,A:88) | Outcome:YES | PNL:24c | Cap:$46.91
2025-05-20 23:22:43,581 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:36 | P(YES):0.942 P(YES):0.942 | BUY_YES x2@88c (B:67,A:88) | Outcome:YES | PNL:24c | Cap:$47.15
2025-05-20 23:22:43,582 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:37 | P(YES):0.944 P(YES):0.944 | BUY_YES x3@86c (B:67,A:86) | Outcome:YES | PNL:42c | Cap:$47.57
2025-05-20 23:22:43,583 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:38 | P(YES):0.948 P(YES):0.948 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$47.79
2025-05-20 23:22:43,585 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:39 | P(YES):0.945 P(YES):0.945 | BUY_YES x2@89c (B:67,A:89) | Outcome:YES | PNL:22c | Cap:$48.01
2025-05-20 23:22:43,587 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:41 | P(YES):0.937 P(YES):0.937 | BUY_YES x3@84c (B:67,A:84) | Outcome:YES | PNL:48c | Cap:$48.49
2025-05-20 23:22:43,588 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:42 | P(YES):0.934 P(YES):0.934 | BUY_YES x4@79c (B:67,A:79) | Outcome:YES | PNL:84c | Cap:$49.33
2025-05-20 23:22:43,589 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:43 | P(YES):0.923 P(YES):0.923 | BUY_YES x3@79c (B:67,A:79) | Outcome:YES | PNL:63c | Cap:$49.96
2025-05-20 23:22:43,590 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:44 | P(YES):0.923 P(YES):0.923 | BUY_YES x4@78c (B:67,A:78) | Outcome:YES | PNL:88c | Cap:$50.84
2025-05-20 23:22:43,591 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:45 | P(YES):0.924 P(YES):0.924 | BUY_YES x3@81c (B:67,A:81) | Outcome:YES | PNL:57c | Cap:$51.41
2025-05-20 23:22:43,593 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 13:46 | P(YES):0.893 P(YES):0.893 | BUY_YES x2@84c (B:50,A:84) | Outcome:YES | PNL:32c | Cap:$51.73
