2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:450 - Processing session 25MAY12_10 (detailed logs will be in: session_25MAY12_10_logistic_regression_20250522_024427.log)
2025-05-22 02:44:39,163 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-22 02:44:39,163 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:471 -   Session 25MAY12_10: Binance data range for TA features: 2025-05-12 11:00 to 2025-05-12 15:00
2025-05-22 02:44:39,163 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-12 to 2025-05-12
2025-05-22 02:44:39,169 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (4320 rows)...
2025-05-22 02:44:39,172 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-12 to 2025-05-12.
2025-05-22 02:44:39,173 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:156 - --- Starting Backtest for Session: 25MAY12_10 ---
2025-05-22 02:44:40,042 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:18 | P(YES):0.943 P(YES):0.943 | BUY_YES x12@73c (Exec B:69, Exec A:73) | Outcome:YES | PNL:324c | Cap:$236.87
2025-05-22 02:44:40,044 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:19 | P(YES):0.944 P(YES):0.944 | BUY_YES x12@74c (Exec B:71, Exec A:74) | Outcome:YES | PNL:312c | Cap:$239.99
2025-05-22 02:44:40,046 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:20 | P(YES):0.946 P(YES):0.946 | BUY_YES x12@74c (Exec B:73, Exec A:74) | Outcome:YES | PNL:312c | Cap:$243.11
2025-05-22 02:44:40,048 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:21 | P(YES):0.946 P(YES):0.946 | BUY_YES x13@74c (Exec B:71, Exec A:74) | Outcome:YES | PNL:338c | Cap:$246.49
2025-05-22 02:44:40,050 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:22 | P(YES):0.944 P(YES):0.944 | BUY_YES x11@78c (Exec B:74, Exec A:78) | Outcome:YES | PNL:242c | Cap:$248.91
2025-05-22 02:44:40,051 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:23 | P(YES):0.944 P(YES):0.944 | BUY_YES x13@74c (Exec B:72, Exec A:74) | Outcome:YES | PNL:338c | Cap:$252.29
2025-05-22 02:44:40,053 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:24 | P(YES):0.944 P(YES):0.944 | BUY_YES x13@74c (Exec B:70, Exec A:74) | Outcome:YES | PNL:338c | Cap:$255.67
2025-05-22 02:44:40,055 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:25 | P(YES):0.925 P(YES):0.925 | BUY_YES x12@74c (Exec B:71, Exec A:74) | Outcome:YES | PNL:312c | Cap:$258.79
2025-05-22 02:44:40,057 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:26 | P(YES):0.931 P(YES):0.931 | BUY_YES x11@77c (Exec B:74, Exec A:77) | Outcome:YES | PNL:253c | Cap:$261.32
2025-05-22 02:44:40,059 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:27 | P(YES):0.939 P(YES):0.939 | BUY_YES x10@81c (Exec B:78, Exec A:81) | Outcome:YES | PNL:190c | Cap:$263.22
