decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision_t,kalshi_yes_ask_at_decision_t,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,session_capital_after_trade
2025-05-12T12:12:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9886,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:13:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9884,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:14:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9881,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:15:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9886,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:16:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9882,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:17:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.988,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:18:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9881,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:19:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9877,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:20:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.988,,70.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:21:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9844,,84.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:22:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9867,,84.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:23:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.988,,84.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:24:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9878,,84.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:25:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9881,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:26:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9895,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:27:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9904,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:28:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9906,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:29:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9908,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:30:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9909,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:31:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9894,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:32:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9899,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:33:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9904,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:34:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9906,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:35:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.99,,97.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:36:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.99,,98.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:37:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9903,,98.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:38:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9903,,98.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
