2025-05-21 17:18:01,396 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:349 - Processing session 25MAY12_17 (logs: session_25MAY12_17_random_forest_20250521_170924.log)
2025-05-21 17:18:01,397 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-21 17:18:01,397 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-21 17:18:01,397 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:370 -   Session 25MAY12_17: Binance data range for TA: 2025-05-11 18:00 to 2025-05-12 22:00
2025-05-21 17:18:01,397 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-11 to 2025-05-12
2025-05-21 17:18:01,405 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-21 17:18:01,409 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-11 to 2025-05-12.
2025-05-21 17:18:01,409 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:110 - --- Starting Backtest for Session: 25MAY12_17 ---
2025-05-21 17:18:16,482 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:00 | P(YES):0.686 P(YES):0.686 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$233.90
2025-05-21 17:18:16,524 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:01 | P(YES):0.686 P(YES):0.686 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$230.60
2025-05-21 17:18:16,564 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:02 | P(YES):0.696 P(YES):0.696 | BUY_YES x6@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$227.30
2025-05-21 17:18:16,606 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:03 | P(YES):0.676 P(YES):0.676 | BUY_YES x5@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$224.55
2025-05-21 17:18:16,649 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:04 | P(YES):0.683 P(YES):0.683 | BUY_YES x6@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$221.25
2025-05-21 17:18:16,778 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:07 | P(YES):0.678 P(YES):0.678 | BUY_YES x5@55c (Exec B:46, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$218.50
2025-05-21 17:18:16,822 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:08 | P(YES):0.671 P(YES):0.671 | BUY_YES x5@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$215.75
2025-05-21 17:18:16,863 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:09 | P(YES):0.691 P(YES):0.691 | BUY_YES x6@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$212.45
2025-05-21 17:18:16,902 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:10 | P(YES):0.692 P(YES):0.692 | BUY_YES x6@55c (Exec B:46, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$209.15
2025-05-21 17:18:16,945 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:11 | P(YES):0.679 P(YES):0.679 | BUY_YES x5@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$206.40
2025-05-21 17:18:16,986 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:12 | P(YES):0.678 P(YES):0.678 | BUY_YES x5@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$203.65
2025-05-21 17:18:17,030 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:13 | P(YES):0.689 P(YES):0.689 | BUY_YES x5@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$200.90
2025-05-21 17:18:17,070 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:14 | P(YES):0.682 P(YES):0.682 | BUY_YES x5@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$198.15
2025-05-21 17:18:17,112 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:15 | P(YES):0.677 P(YES):0.677 | BUY_YES x5@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-275c | Cap:$195.40
2025-05-21 17:18:17,156 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:16 | P(YES):0.673 P(YES):0.673 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$193.20
2025-05-21 17:18:17,198 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:17 | P(YES):0.670 P(YES):0.670 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$191.00
2025-05-21 17:18:17,238 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:18 | P(YES):0.669 P(YES):0.669 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$188.80
2025-05-21 17:18:17,282 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:19 | P(YES):0.667 P(YES):0.667 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$186.60
2025-05-21 17:18:17,326 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:20 | P(YES):0.662 P(YES):0.662 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$184.40
2025-05-21 17:18:17,368 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:21 | P(YES):0.659 P(YES):0.659 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$182.20
2025-05-21 17:18:17,411 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:22 | P(YES):0.663 P(YES):0.663 | BUY_YES x4@55c (Exec B:47, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$180.00
2025-05-21 17:18:17,452 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:23 | P(YES):0.672 P(YES):0.672 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$177.80
2025-05-21 17:18:17,493 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:24 | P(YES):0.689 P(YES):0.689 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$175.60
2025-05-21 17:18:17,535 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:25 | P(YES):0.687 P(YES):0.687 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$173.40
2025-05-21 17:18:17,575 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:26 | P(YES):0.677 P(YES):0.677 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$171.20
2025-05-21 17:18:17,618 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:27 | P(YES):0.679 P(YES):0.679 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$169.00
2025-05-21 17:18:17,659 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:28 | P(YES):0.671 P(YES):0.671 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$166.80
2025-05-21 17:18:17,701 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:29 | P(YES):0.678 P(YES):0.678 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$164.60
2025-05-21 17:18:17,740 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:30 | P(YES):0.674 P(YES):0.674 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$162.40
2025-05-21 17:18:17,781 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:31 | P(YES):0.680 P(YES):0.680 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$160.20
2025-05-21 17:18:17,825 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:32 | P(YES):0.684 P(YES):0.684 | BUY_YES x4@55c (Exec B:44, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$158.00
2025-05-21 17:18:17,865 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:33 | P(YES):0.672 P(YES):0.672 | BUY_YES x3@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-165c | Cap:$156.35
2025-05-21 17:18:17,906 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:34 | P(YES):0.677 P(YES):0.677 | BUY_YES x4@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-220c | Cap:$154.15
2025-05-21 17:18:17,945 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:35 | P(YES):0.676 P(YES):0.676 | BUY_YES x3@55c (Exec B:42, Exec A:55) | Outcome:NO | PNL:-165c | Cap:$152.50
2025-05-21 17:18:17,985 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 02:36 | P(YES):0.667 P(YES):0.667 | BUY_YES x3@55c (Exec B:30, Exec A:55) | Outcome:NO | PNL:-165c | Cap:$150.85
