trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-20T21:41:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777260,19.00,BUY_NO,0.2018,79,1,0,21
2025-05-20T21:42:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777320,18.00,BUY_NO,0.0662,93,1,0,7
2025-05-20T21:42:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777320,18.00,BUY_NO,0.1391,86,1,0,14
2025-05-20T21:43:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777380,17.00,BUY_NO,0.0715,92,1,0,8
2025-05-20T21:43:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777380,17.00,BUY_NO,0.1728,82,1,0,18
2025-05-20T21:44:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777440,16.00,BUY_NO,0.0629,93,1,0,7
2025-05-20T21:44:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777440,16.00,BUY_NO,0.1913,80,1,0,20
2025-05-20T21:44:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777440,16.00,BUY_YES,0.6457,64,1,1,36
2025-05-20T21:45:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777500,15.00,BUY_YES,0.7240,72,1,1,28
2025-05-20T21:45:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777500,15.00,BUY_NO,0.0609,93,1,0,7
2025-05-20T21:45:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777500,15.00,BUY_NO,0.2195,78,1,0,22
2025-05-20T21:46:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777560,14.00,BUY_NO,0.1176,88,1,0,12
2025-05-20T21:46:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777560,14.00,BUY_YES,0.8860,88,1,1,12
2025-05-20T21:46:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777560,14.00,BUY_NO,0.3627,63,1,0,37
2025-05-20T21:47:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777620,13.00,BUY_NO,0.0819,91,1,0,9
2025-05-20T21:47:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777620,13.00,BUY_NO,0.2816,71,1,0,29
