timestamp,market_ticker,type,yes_bid_price_cents,yes_bid_qty,yes_ask_price_cents,yes_ask_qty_on_no_side,sequence_num,delta_side,delta_price_cents,delta_quantity
2025-05-22T17:26:44.344892,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7288,no,84,-500
2025-05-22T17:26:44.344987,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7289,yes,9,-1000
2025-05-22T17:26:44.365409,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7290,yes,8,-1250
2025-05-22T17:26:44.365522,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7291,no,82,-2000
2025-05-22T17:26:44.383575,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7292,no,85,-1000
2025-05-22T17:26:44.383651,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7293,no,83,500
2025-05-22T17:26:44.383707,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7294,no,83,-1250
2025-05-22T17:26:44.444302,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7295,yes,8,2000
2025-05-22T17:26:44.444441,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7296,no,81,2000
2025-05-22T17:26:44.444513,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7297,yes,9,1250
2025-05-22T17:26:44.444575,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7298,yes,11,1000
2025-05-22T17:26:44.444637,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7299,no,82,1250
2025-05-22T17:26:44.444693,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7300,no,84,1000
2025-05-22T17:26:44.604642,KXBTCD-25MAY2221-T111999.99,DELTA,11,1000,13,32,7301,yes,11,-140
2025-05-22T17:26:44.604835,KXBTCD-25MAY2221-T111999.99,DELTA,11,1000,13,32,7302,no,84,-250
2025-05-22T17:26:44.624968,KXBTCD-25MAY2221-T111999.99,DELTA,11,1000,13,32,7303,no,74,250
2025-05-22T17:26:44.684534,KXBTCD-25MAY2221-T111999.99,DELTA,11,1000,13,32,7304,yes,8,-2000
2025-05-22T17:26:44.684728,KXBTCD-25MAY2221-T111999.99,DELTA,9,1250,13,32,7305,yes,11,-1000
2025-05-22T17:26:44.685411,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7306,yes,12,140
2025-05-22T17:26:44.704811,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7307,no,81,-2000
2025-05-22T17:26:44.704925,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7308,no,84,-1000
2025-05-22T17:26:44.723995,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7309,no,82,-1250
2025-05-22T17:26:44.804047,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7310,no,83,1000
2025-05-22T17:26:44.804177,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7311,yes,9,2000
2025-05-22T17:26:44.824453,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7312,no,81,1250
2025-05-22T17:26:44.824618,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7313,no,80,2000
2025-05-22T17:26:44.824700,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7314,yes,12,1000
2025-05-22T17:26:45.266138,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7315,yes,10,250
2025-05-22T17:26:45.266425,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7316,yes,9,-1250
2025-05-22T17:26:45.305562,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7317,yes,10,1250
2025-05-22T17:26:45.385834,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7318,yes,7,-100
2025-05-22T17:26:45.525154,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7319,yes,6,-500
2025-05-22T17:26:45.525279,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7320,no,83,-500
2025-05-22T17:26:45.604710,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7321,yes,8,500
2025-05-22T17:26:45.604906,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7322,no,81,500
2025-05-22T17:26:45.966174,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,13,32,7323,yes,9,-2000
2025-05-22T17:26:45.999106,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7324,yes,12,-1000
2025-05-22T17:26:45.999951,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7325,yes,10,-1250
2025-05-22T17:26:46.004866,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7326,no,80,-2000
2025-05-22T17:26:46.005415,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7327,no,83,-1000
2025-05-22T17:26:46.025885,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7328,no,81,-1250
2025-05-22T17:26:46.066675,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7329,no,82,1250
