reception_timestamp_utc,kline_start_time_ms,kline_close_time_ms,symbol,interval,open_price,close_price,high_price,low_price,base_asset_volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,stream_name
2025-05-20T21:17:04.065063Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106667.19000000,106667.20000000,106641.28000000,2.93079000,614,False,312567.79339220,1.17949000,125798.41136930,btcusdt@kline_1m
2025-05-20T21:17:06.062260Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106667.19000000,106667.20000000,106641.28000000,2.97900000,622,False,317710.21876160,1.19344000,127286.41880930,btcusdt@kline_1m
2025-05-20T21:17:08.066784Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106667.20000000,106667.20000000,106641.28000000,2.99689000,640,False,319618.49488740,1.20311000,128317.89063330,btcusdt@kline_1m
2025-05-20T21:17:10.069514Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106667.19000000,106667.20000000,106641.28000000,3.28089000,656,False,349911.97746160,1.26453000,134869.39005730,btcusdt@kline_1m
2025-05-20T21:17:12.086288Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106667.20000000,106667.20000000,106641.28000000,3.51325000,692,False,374697.16800890,1.49242000,159177.77826530,btcusdt@kline_1m
2025-05-20T21:17:14.109704Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106666.67000000,106667.20000000,106641.28000000,3.87200000,804,False,412964.01744400,1.50133000,160128.17829500,btcusdt@kline_1m
2025-05-20T21:17:16.064222Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106663.47000000,106667.20000000,106641.28000000,5.98990000,1016,False,638864.05549020,1.76585000,188340.03463130,btcusdt@kline_1m
2025-05-20T21:17:18.063049Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106663.48000000,106667.20000000,106641.28000000,6.02266000,1037,False,642358.35109500,1.79861000,191834.33023610,btcusdt@kline_1m
2025-05-20T21:17:20.086412Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106663.48000000,106667.20000000,106641.28000000,6.05897000,1042,False,646231.30205320,1.83486000,195700.88138610,btcusdt@kline_1m
2025-05-20T21:17:22.061678Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106663.48000000,106667.20000000,106641.28000000,6.10155000,1050,False,650773.03302440,1.87672000,200165.81465890,btcusdt@kline_1m
